14:00:56.209 [main] INFO  c.journal.journal.JournalApplication - Starting JournalApplication using Java 23.0.2 with PID 3871 (/Users/macbook/Documents/LEARN/SPRING BOOT/journal-java/target/classes started by macbook in /Users/macbook/Documents/LEARN/SPRING BOOT/journal-java)
14:00:56.211 [main] DEBUG c.journal.journal.JournalApplication - Running with Spring Boot v3.5.4, Spring v6.2.9
14:00:56.211 [main] INFO  c.journal.journal.JournalApplication - The following 1 profile is active: "dev"
14:00:56.500 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
14:00:56.521 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 2 MongoDB repository interfaces.
14:00:56.714 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
14:00:56.721 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
14:00:56.722 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:00:56.722 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
14:00:56.743 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:00:56.744 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 500 ms
